Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Naturaleza jurídica;Periodo;Total
Nacional;01 Andalucía;;Total;2009T3;119
Nacional;01 Andalucía;;Total;2009T2;188
Nacional;01 Andalucía;;Total;2009T1;185
Nacional;01 Andalucía;;Total;2008T4;143
Nacional;01 Andalucía;;Total;2008T3;123
Nacional;01 Andalucía;;Total;2008T2;76
Nacional;01 Andalucía;;Total;2008T1;76
Nacional;01 Andalucía;;Total;2007T4;24
Nacional;01 Andalucía;;Total;2007T3;25
Nacional;01 Andalucía;;Total;2007T2;19
Nacional;01 Andalucía;;Total;2007T1;24
Nacional;01 Andalucía;;Total;2006T4;19
Nacional;01 Andalucía;;Total;2006T3;13
Nacional;01 Andalucía;;Total;2006T2;19
Nacional;01 Andalucía;;Total;2006T1;16
Nacional;01 Andalucía;;Total;2005T4;38
Nacional;01 Andalucía;;Total;2005T3;19
Nacional;01 Andalucía;;Total;2005T2;13
Nacional;01 Andalucía;;Total;2005T1;17
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2020T4;116
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2020T3;90
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2020T2;31
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2020T1;67
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2019T4;78
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2019T3;63
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2019T2;65
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2019T1;47
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2018T4;51
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2018T3;26
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2018T2;29
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2018T1;52
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2017T4;29
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2017T3;22
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2017T2;22
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2017T1;28
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2016T4;10
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2016T3;17
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2016T2;24
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2016T1;25
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2015T4;16
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2015T3;23
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2015T2;18
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2015T1;15
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2014T4;19
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2014T3;12
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2014T2;30
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2014T1;22
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2013T4;31
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2013T3;29
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2013T2;31
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2013T1;25
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2012T4;40
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2012T3;23
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2012T2;35
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2012T1;27
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2011T4;49
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2011T3;37
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2011T2;50
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2011T1;26
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2010T4;30
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2010T3;26
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2010T2;45
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2010T1;30
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2009T4;36
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2009T3;22
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2009T2;49
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2009T1;37
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2008T4;22
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2008T3;16
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2008T2;15
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2008T1;8
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2007T4;2
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2007T3;0
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2007T2;1
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2007T1;0
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2006T4;0
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2006T3;0
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2006T2;2
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2006T1;0
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2005T4;1
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2005T3;5
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2005T2;2
Nacional;01 Andalucía;;Personas físicas sin actividad empresarial;2005T1;1
Nacional;01 Andalucía;;Empresas: personas físicas;2020T4;22
Nacional;01 Andalucía;;Empresas: personas físicas;2020T3;14
Nacional;01 Andalucía;;Empresas: personas físicas;2020T2;4
Nacional;01 Andalucía;;Empresas: personas físicas;2020T1;17
Nacional;01 Andalucía;;Empresas: personas físicas;2019T4;16
Nacional;01 Andalucía;;Empresas: personas físicas;2019T3;13
Nacional;01 Andalucía;;Empresas: personas físicas;2019T2;11
Nacional;01 Andalucía;;Empresas: personas físicas;2019T1;4
Nacional;01 Andalucía;;Empresas: personas físicas;2018T4;9
Nacional;01 Andalucía;;Empresas: personas físicas;2018T3;3
Nacional;01 Andalucía;;Empresas: personas físicas;2018T2;8
